Id,Name ,SwahiliName,IsActive,MinistryId,IsPublicSector
116,Tume ya Taifa ya Kuratibu na Udhibiti wa Madawa ya Kulevya,Tume ya Taifa ya Kuratibu na Udhibiti wa Madawa ya Kulevya,1,NULL,1
117,Shirika la Bandari,Shirika la Bandari,1,32,1
118,Shirika la Nyumba,Shirika la Nyumba,1,29,1
119,Tume ya Ukimwi,Tume ya Ukimwi,0,NULL,1
120,Tume ya Ukimwi,Tume ya Ukimwi,0,NULL,1
121,Baraza la Manispaa Maghrib A,Baraza la Manispaa Maghrib A,1,16,1
122,Tume ya Utumishi wa Mahkama,Tume ya Utumishi wa Mahkama,1,22,1
123,Mahkama Kuu,Mahkama Kuu,1,22,1
124,Wakala wa Usajili wa Matukio ya KijamiiA,Wakala wa Usajili wa Matukio ya KijamiiA,0,NULL,1
125,Bodi ya Ushauri ya Usajili wa Magazeti na Vijarida,Bodi ya Ushauri ya Usajili wa Magazeti na Vijarida,1,26,1
126,Bodi ya Mamlaka ya Vitega Uchumi (ZIPA),Bodi ya Mamlaka ya Vitega Uchumi (ZIPA),1,21,1
127,Bodi ya Uhaulishaji wa Ardhi,Bodi ya Uhaulishaji wa Ardhi,1,29,1
128,Bodi ya Mfuko wa Barabara,Bodi ya Mfuko wa Barabara,1,23,1
129,Bodi ya Kamisheni ya Wakfu na Mali ya Amana,Bodi ya Kamisheni ya Wakfu na Mali ya Amana,1,22,1
130,Bodi ya Shirika la Meli,Bodi ya Shirika la Meli,1,32,1
131,Bodi ya Ushauri ya Maabara ya Mkemia Mkuu wa Serikali,Bodi ya Ushauri ya Maabara ya Mkemia Mkuu wa Serikali,1,5,1
132,Baraza la Watumiaji wa Huduma za Maji na Nishati,Baraza la Watumiaji wa Huduma za Maji na Nishati,1,NULL,1
133,Halmashauri ya Wilaya ya Micheweni,Halmashauri ya Wilaya ya Micheweni,1,16,1
134,Mkoa wa Kaskazini Pemba,Mkoa wa Kaskazini Pemba,1,16,1
135,Baraza la Maafisa Afya,Baraza la Maafisa Afya,1,5,1
136,Mrajis Mkuu wa Serikali,Mrajis Mkuu wa Serikali,1,NULL,1
137,Wizara ya Katiba na Sheria,Tume ya Utumishi Serikalini,0,NULL,1
138,Mamlaka ya Kuzuwia Rushwa na Uhujumu wa Uchumii,Mamlaka ya Kuzuwia Rushwa na Uhujumu wa Uchumii,1,22,1
139,Bodi ya Mikopo Zanzibar,Bodi ya Mikopo Zanzibar,0,NULL,1
140,Bodi ya Mapato Zanzibar (ZRB),Bodi ya Mapato Zanzibar (ZRB),1,23,1
141,Mfuko wa Barabara,Mfuko wa Barabara,1,23,1
142,Bodi ya Ushauri wa Hospitali ya Mnazi Mmoja,Bodi ya Ushauri wa Hospitali ya Mnazi Mmoja,1,5,1
143,Bodi ya Shirika la Huduma za Maktaba,Bodi ya Shirika la Huduma za Maktaba,1,NULL,1
144,Tume ya Ukimwi(Bodi),Tume ya Ukimwi(Bodi),0,NULL,1
145,Bodi ya Taasisi ya Utafiti wa Masuala ya Afya,Bodi ya Taasisi ya Utafiti wa Masuala ya Afya,1,31,1
146,Tume ya Utumishi wa Idara Maalum za SMZ,Tume ya Utumishi wa Idara Maalum za SMZ,1,16,1
147,Tume ya Mipango,Tume ya Mipango,0,NULL,1
148,Benki ya Watu wa Zanzibar(PBZ),Benki ya Watu wa Zanzibar(PBZ),1,23,1
149,Tume ya Utumishi wa Mahkama,Tume ya Utumishi wa Mahkama,1,22,1
150,Baraza la Manispaa Maghrib B,Baraza la Manispaa Maghrib B,1,16,1
151,Bodi ya Mahkama ya Nyumba,Bodi ya Mahkama ya Nyumba,1,NULL,1
